FIPS,STATE,COUNTY,SUBREGION
47007,Tennessee,Bledsoe,South Central
47009,Tennessee,Blount,South Central
47011,Tennessee,Bradley,South Central
47013,Tennessee,Campbell,Central
47015,Tennessee,Cannon,South Central
47019,Tennessee,Carter,South Central
47025,Tennessee,Claiborne,Central
47027,Tennessee,Clay,Central
47029,Tennessee,Cocke,South Central
47031,Tennessee,Coffee,South Central
47035,Tennessee,Cumberland,South Central
47041,Tennessee,De Kalb,South Central
47049,Tennessee,Fentress,Central
47051,Tennessee,Franklin,South Central
47057,Tennessee,Grainger,Central
47059,Tennessee,Greene,South Central
47061,Tennessee,Grundy,South Central
47063,Tennessee,Hamblen,South Central
47065,Tennessee,Hamilton,South Central
47067,Tennessee,Hancock,Central
47073,Tennessee,Hawkins,South Central
47087,Tennessee,Jackson,Central
47089,Tennessee,Jefferson,South Central
47091,Tennessee,Johnson,South Central
47093,Tennessee,Knox,South Central
47099,Tennessee,Lawrence,South Central
47101,Tennessee,Lewis,South Central
47105,Tennessee,Loudon,South Central
47107,Tennessee,McMinn,South Central
47111,Tennessee,Macon,Central
47115,Tennessee,Marion,South Central
47121,Tennessee,Meigs,South Central
47123,Tennessee,Monroe,South Central
47129,Tennessee,Morgan,Central
47133,Tennessee,Overton,Central
47137,Tennessee,Pickett,Central
47139,Tennessee,Polk,South Central
47141,Tennessee,Putnam,South Central
47143,Tennessee,Rhea,South Central
47145,Tennessee,Roane,South Central
47151,Tennessee,Scott,Central
47153,Tennessee,Sequatchie,South Central
47155,Tennessee,Sevier,South Central
47159,Tennessee,Smith,South Central
47163,Tennessee,Sullivan,South Central
47171,Tennessee,Unicoi,South Central
47173,Tennessee,Union,Central
47175,Tennessee,Van Buren,South Central
47177,Tennessee,Warren,South Central
47179,Tennessee,Washington,South Central
47185,Tennessee,White,South Central
51005,Virginia,Alleghany + Covington city,South Central
51017,Virginia,Bath,South Central
51021,Virginia,Bland,South Central
51023,Virginia,Botetourt,South Central
51027,Virginia,Buchanan,Central
51035,Virginia,Carroll + Galax city,South Central
51045,Virginia,Craig,South Central
51051,Virginia,Dickenson,Central
51063,Virginia,Floyd,South Central
51071,Virginia,Giles,South Central
51077,Virginia,Grayson,South Central
51089,Virginia,Henry + Martinsville city,South Central
51091,Virginia,Highland,South Central
51105,Virginia,Lee,Central
51121,Virginia,Montgomery + Radford city,South Central
51141,Virginia,Patrick,South Central
51155,Virginia,Pulaski,South Central
51163,Virginia,Rockbridge + Buena Vista city + Lexington city,South Central
51167,Virginia,Russell,Central
51169,Virginia,Scott,Central
51173,Virginia,Smyth,South Central
51185,Virginia,Tazewell,Central
51191,Virginia,Washington + Bristol city,South Central
51195,Virginia,Wise + Norton city,Central
51197,Virginia,Wythe,South Central
54001,West Virginia,Barbour,North Central
54003,West Virginia,Berkeley,North Central
54005,West Virginia,Boone,Central
54007,West Virginia,Braxton,North Central
54009,West Virginia,Brooke,Northern
54011,West Virginia,Cabell,North Central
54013,West Virginia,Calhoun,North Central
54015,West Virginia,Clay,North Central
54017,West Virginia,Doddridge,North Central
54019,West Virginia,Fayette,North Central
54021,West Virginia,Gilmer,North Central
54023,West Virginia,Grant,North Central
54025,West Virginia,Greenbrier,North Central
54027,West Virginia,Hampshire,North Central
54029,West Virginia,Hancock,Northern
54031,West Virginia,Hardy,North Central
54033,West Virginia,Harrison,North Central
54035,West Virginia,Jackson,North Central
54037,West Virginia,Jefferson,North Central
54039,West Virginia,Kanawha,North Central
54041,West Virginia,Lewis,North Central
54043,West Virginia,Lincoln,Central
54045,West Virginia,Logan,Central
54047,West Virginia,McDowell,Central
54049,West Virginia,Marion,North Central
54051,West Virginia,Marshall,Northern
54053,West Virginia,Mason,North Central
54055,West Virginia,Mercer,North Central
54057,West Virginia,Mineral,North Central
54059,West Virginia,Mingo,Central
54061,West Virginia,Monongalia,North Central
54063,West Virginia,Monroe,North Central
54065,West Virginia,Morgan,North Central
54067,West Virginia,Nicholas,North Central
54069,West Virginia,Ohio,Northern
54071,West Virginia,Pendleton,North Central
54073,West Virginia,Pleasants,North Central
54075,West Virginia,Pocahontas,North Central
54077,West Virginia,Preston,North Central
54079,West Virginia,Putnam,North Central
54081,West Virginia,Raleigh,North Central
54083,West Virginia,Randolph,North Central
54085,West Virginia,Ritchie,North Central
54087,West Virginia,Roane,North Central
54089,West Virginia,Summers,North Central
54091,West Virginia,Taylor,North Central
54093,West Virginia,Tucker,North Central
54095,West Virginia,Tyler,North Central
54097,West Virginia,Upshur,North Central
54099,West Virginia,Wayne,Central
54101,West Virginia,Webster,North Central
54103,West Virginia,Wetzel,North Central
54105,West Virginia,Wirt,North Central
54107,West Virginia,Wood,North Central
54109,West Virginia,Wyoming,Central
