Year,State,State.Code,all_deaths,DOD_deaths,drugs_deaths,alcohol_deaths,suicide_deaths,Population
2021,Minnesota,27,50615,3169,1159,1321,689,3892294
2021,Mississippi,28,39945,1886,740,736,410,1979677
2021,Missouri,29,72350,4304,1954,1351,999,4225868
2021,Montana,30,12426,895,183,433,279,769344
2021,Nebraska,31,18520,833,172,421,240,1289092
2021,Nevada,32,32249,2386,832,964,590,2193751
2021,New Hampshire,33,14027,957,402,358,197,1009660
2021,New Jersey,34,82863,4887,2888,1403,596,6470760
2021,New Mexico,35,24709,2774,953,1379,442,1445703
2021,New York,36,178775,9674,5498,2700,1476,13979542
2021,North Carolina,37,115467,7364,3701,2464,1199,7260238
2021,North Dakota,38,7107,465,110,230,125,505804
2021,Ohio,39,145005,9235,5116,2613,1506,8122862
2021,Oklahoma,40,49877,2780,904,1146,730,2641438
2021,Oregon,41,44363,3283,1138,1352,793,3026847
2021,Pennsylvania,42,152955,9023,4980,2386,1657,9156034
2021,Rhode Island,44,11097,807,417,288,102,776229
2021,South Carolina,45,63945,4099,1986,1441,672,3609065
2021,South Dakota,46,8938,637,85,403,149,591725
2021,Tennessee,47,89239,6552,3623,1867,1062,4817462
2021,Texas,48,260837,14166,4419,6318,3429,19201801
2021,Utah,49,21879,1626,572,536,518,2011570
2021,Vermont,50,6792,507,217,160,130,462400
2021,Virginia,51,84182,4931,2370,1582,979,5957609
2021,Washington,53,67364,5058,2125,1904,1029,5409796
2021,West Virginia,54,29104,2318,1444,547,327,1270528
2021,Wisconsin,55,59913,3775,1595,1413,767,4071415
2021,Wyoming,56,6435,510,102,254,154,394198
2022,Alabama,1,60950,3347,1489,1109,749,3470713
2022,Alaska,2,5493,703,246,304,153,488643
2022,Arizona,4,72399,5996,2401,2194,1401,5050627
2022,Arkansas,5,36985,1786,560,743,483,2058287
2022,California,6,307213,22363,10116,8432,3815,26851336
2022,Colorado,8,45599,4508,1553,1828,1127,4070294
2022,Connecticut,9,34081,2489,1420,712,357,2544138
2022,Delaware,10,11126,901,524,258,119,722684
2022,District of Columbia,11,5241,595,444,111,40,479328
2022,Florida,12,235050,15076,7034,4930,3112,16100288
2022,Georgia,13,99556,5955,2478,2100,1377,7336378
2022,Hawaii,15,13000,682,279,192,211,1022168
2022,Idaho,16,16789,1151,334,448,369,1279698
2022,Illinois,17,120534,7335,3545,2462,1328,8692160
2022,Indiana,18,73658,5057,2411,1639,1007,4585693
2022,Iowa,19,33395,1655,389,759,507,2147535
2022,Kansas,20,30859,1760,627,638,495,1938797
2022,Kentucky,21,56012,4011,2182,1118,711,3089879
2022,Louisiana,22,50893,3682,2261,793,628,3097867
2022,Maine,23,17123,1343,663,435,245,1026980
2022,Maryland,24,55203,3852,2437,900,515,4283668
2022,Massachusetts,25,62597,4506,2556,1400,550,4947256
2022,Michigan,26,108625,6328,2769,2255,1304,6970198
2022,Minnesota,27,50270,3323,1222,1363,738,3908282
2022,Mississippi,28,36825,1732,697,671,364,1970241
2022,Missouri,29,70233,4459,1941,1460,1058,4233930
2022,Montana,30,11441,865,188,403,274,784066
2022,Nebraska,31,18211,887,192,437,258,1293922
2022,Nevada,32,30356,2422,897,916,609,2223279
2022,New Hampshire,33,14364,1053,452,374,227,1021573
2022,New Jersey,34,80370,4856,2846,1329,681,6472724
2022,New Mexico,35,23102,2595,921,1225,449,1447076
2022,New York,36,171311,10425,6041,2796,1588,13884827
2022,North Carolina,37,110272,7614,3940,2291,1383,7365475
2022,North Dakota,38,6868,491,117,230,144,507054
2022,Ohio,39,135587,8988,4856,2602,1530,8124781
2022,Oklahoma,40,46961,3036,1123,1156,757,2660054
2022,Oregon,41,43925,3436,1315,1347,774,3032338
2022,Pennsylvania,42,144875,8914,4773,2410,1731,9147165
2022,Rhode Island,44,10584,780,379,281,120,777895
2022,South Carolina,45,59722,4277,2134,1395,748,3670482
2022,South Dakota,46,8775,578,82,352,144,603630
2022,Tennessee,47,83095,6495,3594,1819,1082,4869062
2022,Texas,48,234478,14538,4873,6035,3630,19546901
2022,Utah,49,21184,1585,534,468,583,2045301
2022,Vermont,50,6872,528,251,165,112,466626
2022,Virginia,51,81189,4934,2324,1593,1017,5993414
2022,Washington,53,67906,5430,2497,1844,1089,5462015
2022,West Virginia,54,27140,2171,1297,560,314,1263599
2022,Wisconsin,55,59515,3838,1611,1428,799,4081312
2022,Wyoming,56,5762,470,107,238,125,396960
,,,,,,NA,NA,
,,,,,,NA,NA,
,,,,,,NA,NA,
,,,,,,NA,NA,
,,,,,,NA,NA,
,,,,,,NA,NA,
,,,,,,NA,NA,
,,,,,,NA,NA,
,,,,,,NA,NA,
,,,,,,NA,NA,
,,,,,,NA,NA,
,,,,,,NA,NA,
,,,,,,NA,NA,
,,,,,,NA,NA,
,,,,,,NA,NA,
,,,,,,NA,NA,
,,,,,,NA,NA,
,,,,,,NA,NA,
,,,,,,NA,NA,
,,,,,,NA,NA,
,,,,,,NA,NA,
,,,,,,NA,NA,
,,,,,,NA,NA,
,,,,,,NA,NA,
,,,,,,NA,NA,
,,,,,,NA,NA,
,,,,,,NA,NA,
,,,,,,NA,NA,
,,,,,,NA,NA,
,,,,,,NA,NA,
,,,,,,NA,NA,
,,,,,,NA,NA,
,,,,,,NA,NA,
,,,,,,NA,NA,
,,,,,,NA,NA,
,,,,,,NA,NA,
,,,,,,NA,NA,
,,,,,,NA,NA,
,,,,,,NA,NA,
,,,,,,NA,NA,
,,,,,,NA,NA,
,,,,,,NA,NA,
,,,,,,NA,,
,,,,,,NA,,
,,,,,,NA,,
,,,,,,NA,,
,,,,,,NA,,
,,,,,,NA,,
,,,,,,NA,,
,,,,,,NA,,
,,,,,,NA,,
,,,,,,NA,,
,,,,,,NA,,
