"Year","County","County.Code","Death.Rate","Death.Rate.25.34","Death.Rate.35.44","Death.Rate.45.54","Death.Rate.55.64","Death.Rate.65.74","Death.Rate.75.84","Death.Rate.85.","Death.Rate.45.64","Death.Rate.65.","Death.Rate.F","Death.Rate.M","Death.Rate.White","Death.Rate.Black","Death.Rate.Asian","Death.Rate.Indian"
2009,"Gilmer County, GA",13123,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Glascock County, GA",13125,NA,0,0,0,0,0,NA,0,0,0,NA,0,NA,0,0,0
2009,"Glynn County, GA",13127,0.000244802651401024,0,0,NA,NA,0,NA,0,0,0,NA,0.000406487541156864,0.000248607796340493,NA,0,0
2009,"Gordon County, GA",13129,NA,0,NA,NA,NA,0,NA,0,0,0,NA,NA,NA,0,0,0
2009,"Grady County, GA",13131,NA,0,0,0,NA,NA,0,NA,0,0,NA,NA,NA,NA,0,0
2009,"Greene County, GA",13133,NA,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0
2009,"Gwinnett County, GA",13135,8.46862977570229e-05,NA,NA,0.000108757487534719,0.000247103399044534,NA,0,0,0.000161142762090905,0,4.27654470738715e-05,0.000129853265809635,0.000114206343082028,NA,NA,0
2009,"Habersham County, GA",13137,NA,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
2009,"Hall County, GA",13139,0.000258986380888591,0,NA,0.000423172950784986,0.000547525186158563,NA,NA,0,0.000477383936030553,0,NA,0.000381970970206264,0.00026818172788494,NA,0,0
2009,"Hancock County, GA",13141,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,NA,0,0
2009,"Haralson County, GA",13143,NA,0,0,NA,0,0,0,0,0,0,NA,NA,NA,0,0,0
2009,"Harris County, GA",13145,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0
2009,"Hart County, GA",13147,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,0,0
2009,"Heard County, GA",13149,NA,0,0,NA,0,NA,0,0,0,0,0,NA,NA,0,0,0
2009,"Henry County, GA",13151,0.000192259935432705,0,NA,NA,0.000518995225243928,NA,NA,0,0.000202913842782355,0,NA,0.000276052449965493,0.000284642256436796,NA,0,0
2009,"Houston County, GA",13153,0.000194837940677578,NA,NA,NA,NA,NA,0,NA,0,0,0.00021703743895822,NA,0.000212068318624492,NA,0,0
2009,"Irwin County, GA",13155,NA,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,0,0,0
2009,"Jackson County, GA",13157,NA,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0
2009,"Jasper County, GA",13159,NA,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,0,0
2009,"Jeff Davis County, GA",13161,NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,0,0,0
2009,"Jefferson County, GA",13163,NA,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,0,0
2009,"Jenkins County, GA",13165,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Johnson County, GA",13167,NA,0,0,0,NA,0,0,0,0,0,0,NA,NA,0,0,0
2009,"Jones County, GA",13169,NA,0,0,0,NA,0,0,0,0,0,0,NA,NA,0,0,0
2009,"Lamar County, GA",13171,NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,0,0,0
2009,"Lanier County, GA",13173,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Laurens County, GA",13175,NA,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0
2009,"Lee County, GA",13177,NA,0,0,NA,0,0,0,0,0,0,0,NA,0,NA,0,0
2009,"Liberty County, GA",13179,NA,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0
2009,"Lincoln County, GA",13181,NA,0,0,0,NA,0,0,0,0,0,0,NA,NA,0,0,0
2009,"Long County, GA",13183,NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,0,0,0
2009,"Lowndes County, GA",13185,0.000257719504534253,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.000367413741273924,0.000298166277394027,NA,0,0
2009,"Lumpkin County, GA",13187,NA,0,0,NA,NA,0,NA,0,0,0,NA,NA,NA,0,0,0
2009,"McDuffie County, GA",13189,NA,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,NA,0,0
2009,"McIntosh County, GA",13191,NA,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0
2009,"Macon County, GA",13193,NA,0,0,NA,0,0,0,0,0,0,0,NA,0,NA,0,0
2009,"Madison County, GA",13195,NA,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,0
2009,"Marion County, GA",13197,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Meriwether County, GA",13199,NA,0,NA,0,NA,0,0,0,0,0,NA,NA,NA,0,0,0
2009,"Miller County, GA",13201,NA,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,0,0,0
2009,"Mitchell County, GA",13205,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,0
2009,"Monroe County, GA",13207,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,0
2009,"Montgomery County, GA",13209,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Morgan County, GA",13211,NA,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0
2009,"Murray County, GA",13213,NA,0,0,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,0
2009,"Muscogee County, GA",13215,0.000152391273059763,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0
2009,"Newton County, GA",13217,0.000161759948236817,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0
2009,"Oconee County, GA",13219,NA,0,0,0,NA,0,NA,0,0,0,NA,NA,NA,0,0,0
2009,"Oglethorpe County, GA",13221,NA,0,NA,0,NA,0,0,0,0,0,0,NA,NA,0,0,0
2009,"Paulding County, GA",13223,0.0001383189635299,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0.000154290683647993,NA,0,0
2009,"Peach County, GA",13225,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,0,0,0
2009,"Pickens County, GA",13227,NA,0,0,NA,NA,0,0,NA,0,0,NA,NA,NA,0,0,0
2009,"Pierce County, GA",13229,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0
2009,"Pike County, GA",13231,NA,0,0,0,NA,0,0,0,0,0,0,NA,NA,0,0,0
2009,"Polk County, GA",13233,NA,0,0,NA,NA,0,0,0,0,0,0,NA,NA,0,0,0
2009,"Pulaski County, GA",13235,NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,0,0,0
2009,"Putnam County, GA",13237,NA,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0
2009,"Quitman County, GA",13239,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Rabun County, GA",13241,NA,NA,0,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0
2009,"Randolph County, GA",13243,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Richmond County, GA",13245,0.000185042157430649,NA,NA,NA,0.000599409811877536,NA,0,NA,0.000264981655116184,0,NA,0.0003288847345554,0.000281501812167916,NA,0,0
2009,"Rockdale County, GA",13247,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0
2009,"Schley County, GA",13249,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Screven County, GA",13251,NA,NA,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0
2009,"Seminole County, GA",13253,NA,0,0,0,0,0,NA,0,0,0,NA,0,NA,0,0,0
2009,"Spalding County, GA",13255,0.000237896990603069,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0
2009,"Stephens County, GA",13257,NA,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0
2009,"Stewart County, GA",13259,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Sumter County, GA",13261,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,0,0
2009,"Talbot County, GA",13263,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Taliaferro County, GA",13265,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Tattnall County, GA",13267,NA,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0
2009,"Taylor County, GA",13269,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Telfair County, GA",13271,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Terrell County, GA",13273,NA,0,NA,0,NA,0,0,0,0,0,0,NA,NA,NA,0,0
2009,"Thomas County, GA",13275,NA,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0
2009,"Tift County, GA",13277,NA,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0
2009,"Toombs County, GA",13279,NA,0,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,0,0,0
2009,"Towns County, GA",13281,NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,0,0,0
2009,"Treutlen County, GA",13283,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Troup County, GA",13285,0.000236155390246782,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0
2009,"Turner County, GA",13287,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Twiggs County, GA",13289,NA,0,0,NA,0,0,NA,0,0,0,NA,NA,NA,NA,0,0
2009,"Union County, GA",13291,NA,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,0,0,0
2009,"Upson County, GA",13293,NA,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0
2009,"Walker County, GA",13295,NA,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,0
2009,"Walton County, GA",13297,0.000313641563041954,0,NA,NA,NA,NA,NA,NA,0,0,0.000387433079740772,NA,0.000371665937909926,0,0,0
2009,"Ware County, GA",13299,NA,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,0,0
2009,"Warren County, GA",13301,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Washington County, GA",13303,NA,0,0,0,NA,0,0,0,0,0,0,NA,NA,0,0,0
2009,"Wayne County, GA",13305,NA,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0
2009,"Webster County, GA",13307,NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,0,0,0
2009,"Wheeler County, GA",13309,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"White County, GA",13311,NA,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,0
2009,"Whitfield County, GA",13313,0.000208136537568645,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,0.000222957792374844,0,0,0
2009,"Wilcox County, GA",13315,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0
2009,"Wilkes County, GA",13317,NA,0,NA,NA,0,0,0,0,0,0,0,NA,0,NA,0,0
2009,"Wilkinson County, GA",13319,NA,0,0,0,0,0,NA,0,0,0,NA,0,NA,0,0,0
2009,"Worth County, GA",13321,NA,0,NA,0,0,NA,0,0,0,0,0,NA,NA,NA,0,0
2009,"Adair County, KY",21001,NA,0,0,0,NA,0,0,0,0,0,NA,0,NA,0,0,0
2009,"Allen County, KY",21003,NA,0,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,0,0
2009,"Anderson County, KY",21005,NA,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0
2009,"Ballard County, KY",21007,NA,0,0,0,NA,0,0,0,0,0,NA,NA,NA,0,0,0
